Paper ID,Order,Type,Title,Authors
,100.1,SD,Session: 3D Imaging and Reasoning,
401,101,AP,3D-Based Reasoning with Blocks@ Support@ and Stability,Zhaoyin Jia@ Andrew Gallagher@ Ashutosh Saxena@ Tsuhan Chen
331,102,AP,Physically Plausible 3D Scene Tracking: The Single Actor Hypothesis,Nikolaos Kyriazis@ Antonis Argyros
860,103,AP,Intrinsic Scene Properties from a Single RGB-D Image,Jonathan T. Barron@ Jitendra Malik
1806,104,AP,Depth Acquisition from Density Modulated Binary Patterns,Zhe Yang@ Zhiwei Xiong@ Yueyi Zhang@ Jiao Wang@ Feng Wu
138,105,AP,Understanding Indoor Scenes Using 3D Geometric Phrases,Wongun Choi@ Yu-Wei Chao@ Caroline Pantofaru@ Silvio Savarese
,105.1,SD,Session: Statistics and Learning,
151,106,AP,Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem,Rui Caseiro@ Pedro Martins@ João F. Henriques@ Fátima Silva Leite@ Jorge Batista
2163,107,AP,Exploring Compositional High Order Pattern Potentials for Structured Output Learning,Yujia Li@ Daniel Tarlow@ Richard Zemel
1794,108,AP,Discrete MRF Inference of Marginal Densities for Non-uniformly Discretized Variable Space,Masaki Saito@ Takayuki Okatani@ Koichiro Deguchi
637,109,AP,GeoF: Geodesic Forests for Learning Coupled Predictors,P. Kontschieder@ P. Kohli@ J. Shotton@ A. Criminisi
1072,110,AP,Kernel Methods on the Riemannian Manifold of Symmetric Positive Definite Matrices,Sadeep Jayasumana@ Richard Hartley@ Mathieu Salzmann@ Hongdong Li@ Mehrtash Harandi
,110.1,SD,Session: Recognition,
881,111,AP,Perceptual Organization and Recognition of Indoor Scenes from RGB-D Images,Saurabh Gupta@ Pablo Arbeláez@ Jitendra Malik
539,112,AP,Watching Unlabeled Video Helps Learn New Human Actions from Very Few Labeled Snapshots,Chao-Yeh Chen@ Kristen Grauman
254,113,AP,Fine-Grained Crowdsourcing for Fine-Grained Recognition,Jia Deng@ Jonathan Krause@ Li Fei-Fei
1654,114,AP,Poselet Conditioned Pictorial Structures,Leonid Pishchulin@ Mykhaylo Andriluka@ Peter Gehler@ Bernt Schiele
1321,115,AP,Beyond Physical Connections: Tree Models in Human Pose Estimation,Fang Wang@ Yi Li
,115.1,SD,Session: Imaging and Segmentation,
738,116,AP,Discriminative Non-blind Deblurring,Uwe Schmidt@ Carsten Rother@ Sebastian Nowozin@ Jeremy Jancsary@ Stefan Roth
843,117,AP,Handling Noise in Single Image Deblurring Using Directional Filters,Lin Zhong@ Sunghyun Cho@ Dimitris Metaxas@ Sylvain Paris@ Jue Wang
363,118,AP,Jointly Aligning and Segmenting Multiple Web Photo Streams for the Inference of Collective Photo Storylines,Gunhee Kim@ Eric P. Xing
1359,119,AP,Video Object Segmentation through Spatially Accurate and Temporally Dense Extraction of Primary Object Regions,Dong Zhang@ Omar Javed@ Mubarak Shah
1444,120,AP,Improving Image Matting Using Comprehensive Sampling Sets,Ehsan Shahrian@ Deepu Rajan@ Brian Price@ Scott Cohen
,120.1,SD,Session: Motion and Reconstruction,
119,121,AP,Megastereo: Constructing High-Resolution Stereo Panoramas,Christian Richardt@ Yael Pritch@ Henning Zimmer@ Alexander Sorkine-Hornung
1625,122,AP,Dense Object Reconstruction with Semantic Priors,Sid Yingze Bao@ Manmohan Chandraker@ Yuanqing Lin@ Silvio Savarese
1159,123,AP,Dense Variational Reconstruction of Non-rigid Surfaces from Monocular Video,Ravi Garg@ Anastasios Roussos@ Lourdes Agapito
1723,124,AP,Procrustean Normal Distribution for Non-rigid Structure from Motion,Minsik Lee@ Jungchan Cho@ Chong-Ho Choi@ Songhwai Oh
1623,125,AP,Dense Reconstruction Using 3D Object Shape Priors,Amaury Dame@ Victor A. Prisacariu@ Carl Y. Ren@ Ian Reid
,125.1,SD,Session: Optimization Methods,
1288,126,AP,Gauging Association Patterns of Chromosome Territories via Chromatic Median,Hu Ding@ Branislav Stojkovic@ Ronald Berezney@ Jinhui Xu
2068,127,AP,Auxiliary Cuts for General Classes of Higher Order Functionals,Ismail Ben Ayed@ Lena Gorelick@ Yuri Boykov
1604,128,AP,A Fast Semidefinite Approach to Solving Binary Quadratic Problems,Peng Wang@ Chunhua Shen@ Anton van_den_Hengel
820,129,AP,Diffusion Processes for Retrieval Revisited,Michael Donoser@ Horst Bischof
1207,130,AP,A Comparative Study of Modern Inference Techniques for Discrete Energy Minimization Problems,Jörg H. Kappes@ Bjoern Andres@ Fred A. Hamprecht@ Christoph Schnörr@ Sebastian Nowozin@ Dhruv Batra@ Sungwoong Kim@ Bernhard X. Kausler@ Jan Lellmann@ Nikos Komodakis@ Carsten Rother
,130.1,SD,Session: Detection,
1992,131,AP,Learning Structured Hough Voting for Joint Object Detection and Occlusion Reasoning,Tao Wang@ Xuming He@ Nick Barnes
176,132,AP,Detection Evolution with Multi-order Contextual Co-occurrence,Guang Chen@ Yuanyuan Ding@ Jing Xiao@ Tony X. Han
728,133,AP,Efficient Large-Scale Structured Learning,Steve Branson@ Oscar Beijbom@ Serge Belongie
1008,134,AP,Fast@ Accurate Detection of 100@000 Object Classes on a Single Machine,Thomas Dean@ Mark A. Ruzon@ Mark Segal@ Jonathon Shlens@ Sudheendra Vijayanarasimhan@ Jay Yagnik
,134.1,SD,Session: Detection - Medical/Curves,
204,135,AP,Reconstructing Loopy Curvilinear Structures Using Integer Programming,Engin Türetken@ Fethallah Benmansour@ Bjoern Andres@ Hanspeter Pfister@ Pascal Fua
,135.1,SD,Session: Tracking and Flow,
1376,136,AP,Tracking Sports Players with Context-Conditioned Motion Models,Jingchen Liu@ Peter Carr@ Robert T. Collins@ Yanxi Liu
1266,137,AP,Structure Preserving Object Tracking,Lu Zhang@ Laurens van_der_Maaten
1381,138,AP,Multi-target Tracking by Lagrangian Relaxation to Min-cost Network Flow,Asad A. Butt@ Robert T. Collins
573,139,AP,Patch Match Filter: Efficient Edge-Aware Filtering Meets Randomized Search for Fast Correspondence Field Estimation,Jiangbo Lu@ Hongsheng Yang@ Dongbo Min@ Minh N. Do
1369,140,AP,Robust Monocular Epipolar Flow Estimation,Koichiro Yamaguchi@ David McAllester@ Raquel Urtasun
,140.1,SD,Session: Video,
237,141,AP,Event Retrieval in Large Video Collections with Circulant Temporal Encoding,Jerome Revaud@ Matthijs Douze@ Cordelia Schmid@ Hervé Jégou
462,142,AP,Cumulative Attribute Space for Age and Crowd Density Estimation,Ke Chen@ Shaogang Gong@ Tao Xiang@ Chen Change Loy
334,143,AP,Social Role Discovery in Human Events,Vignesh Ramanathan@ Bangpeng Yao@ Li Fei-Fei
